Date,ETF Close,NIFTY Return,Invested Today,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close
2023-06-22,211.29,-0.0045,3000,159000,14.1985,822.3581,173756.05,18771.25
2023-06-23,208.45,-0.0056,1000,160000,4.7973,827.1554,172420.55,18665.5
2023-06-26,209.85,0.0014,0,160000,0.0,827.1554,173578.57,18691.2
2023-06-27,210.98,0.0068,0,160000,0.0,827.1554,174513.26,18817.4
2023-06-28,212.58,0.0082,0,160000,0.0,827.1554,175836.7,18972.1
2023-06-30,211.48,0.0114,0,160000,0.0,827.1554,174926.83,19189.05
2023-07-03,214.07,0.007,0,160000,0.0,827.1554,177069.17,19322.55
2023-07-04,211.71,0.0034,0,160000,0.0,827.1554,175117.08,19389.0
2023-07-05,213.41,0.0005,0,160000,0.0,827.1554,176523.24,19398.5
2023-07-06,215.61,0.0051,0,160000,0.0,827.1554,178342.98,19497.3
2023-07-07,213.44,-0.0085,9000,169000,42.1664,869.3219,185548.06,19331.8
2023-07-10,212.25,0.0012,0,169000,0.0,869.3219,184513.56,19355.9
2023-07-11,216.76,0.0043,0,169000,0.0,869.3219,188434.21,19439.4
2023-07-12,215.46,-0.0028,3000,172000,13.9237,883.2456,190304.09,19384.3
2023-07-13,213.87,0.0015,0,172000,0.0,883.2456,188899.73,19413.75
2023-07-14,213.81,0.0078,0,172000,0.0,883.2456,188846.73,19564.5
2023-07-17,215.87,0.0075,0,172000,0.0,883.2456,190666.22,19711.45
2023-07-18,216.88,0.0019,0,172000,0.0,883.2456,191558.3,19749.25
2023-07-19,217.31,0.0042,0,172000,0.0,883.2456,191938.09,19833.15
2023-07-20,218.47,0.0074,0,172000,0.0,883.2456,192962.66,19979.15
2023-07-21,218.97,-0.0117,7000,179000,31.9678,915.2134,200404.28,19745.0
2023-07-24,216.26,-0.0037,1000,180000,4.6241,919.8375,198924.05,19672.35
2023-07-25,216.3,0.0004,0,180000,0.0,919.8375,198960.84,19680.6
2023-07-26,218.4,0.005,0,180000,0.0,919.8375,200892.5,19778.3
2023-07-27,217.83,-0.006,3000,183000,13.7722,933.6097,203368.2,19659.9
2023-07-28,219.73,-0.0007,1000,184000,4.551,938.1607,206142.05,19646.05
2023-07-31,223.48,0.0055,0,184000,0.0,938.1607,209660.16,19753.8
2023-08-01,221.26,-0.001,2000,186000,9.0391,947.1999,209577.44,19733.55
2023-08-02,217.41,-0.0105,1000,187000,4.5996,951.7995,206930.72,19526.55
2023-08-03,217.2,-0.0074,1000,188000,4.6041,956.4035,207730.84,19381.65
2023-08-04,218.4,0.007,0,188000,0.0,956.4035,208878.53,19517.0
2023-08-07,219.66,0.0041,0,188000,0.0,956.4035,210083.6,19597.3
2023-08-08,219.2,-0.0013,3000,191000,13.6861,970.0896,212643.65,19570.85
2023-08-09,218.91,0.0032,0,191000,0.0,970.0896,212362.32,19632.55
2023-08-10,219.27,-0.0046,2000,193000,9.1212,979.2108,214711.56,19543.1
2023-08-11,217.02,-0.0059,1000,194000,4.6079,983.8187,213508.33,19428.3
2023-08-14,218.84,0.0003,0,194000,0.0,983.8187,215298.88,19434.55
2023-08-16,216.74,0.0016,0,194000,0.0,983.8187,213232.86,19465.0
2023-08-18,218.18,-0.008,3000,197000,13.7501,997.5688,217649.56,19310.15
2023-08-21,219.24,0.0043,0,197000,0.0,997.5688,218706.98,19393.6
2023-08-22,221.93,0.0001,0,197000,0.0,997.5688,221390.44,19396.45
2023-08-23,223.0,0.0025,0,197000,0.0,997.5688,222457.84,19444.0
2023-08-24,223.63,-0.0029,4000,201000,17.8867,1015.4555,227086.31,19386.7
2023-08-25,220.08,-0.0062,1000,202000,4.5438,1019.9993,224481.44,19265.8
2023-08-28,222.35,0.0021,0,202000,0.0,1019.9993,226796.84,19306.05
2023-08-29,222.7,0.0019,0,202000,0.0,1019.9993,227153.84,19342.65
2023-08-30,225.53,0.0002,0,202000,0.0,1019.9993,230040.44,19347.45
2023-08-31,229.49,-0.0048,4000,206000,17.43,1037.4292,238079.64,19253.8
2023-09-01,231.93,0.0094,0,206000,0.0,1037.4292,240610.97,19435.3
2023-09-04,229.35,0.0048,0,206000,0.0,1037.4292,237934.4,19528.8
2023-09-05,225.98,0.0024,0,206000,0.0,1037.4292,234438.26,19574.9
2023-09-06,228.76,0.0018,0,206000,0.0,1037.4292,237322.31,19611.05
2023-09-07,228.25,0.0059,0,206000,0.0,1037.4292,236793.23,19727.05
2023-09-08,231.51,0.0047,0,206000,0.0,1037.4292,240175.25,19819.95
2023-09-11,230.64,0.0089,0,206000,0.0,1037.4292,239272.68,19996.35
2023-09-12,227.49,-0.0002,8000,214000,35.1664,1072.5956,244004.78,19993.2
2023-09-13,231.09,0.0038,0,214000,0.0,1072.5956,247866.12,20070.0
2023-09-14,227.77,0.0016,0,214000,0.0,1072.5956,244305.11,20103.1
2023-09-15,232.55,0.0044,0,214000,0.0,1072.5956,249432.11,20192.35
2023-09-18,231.97,-0.0029,4000,218000,17.2436,1089.8392,252810.01,20133.3
2023-09-20,242.77,-0.0115,1000,219000,4.1191,1093.9584,265580.27,19901.4
2023-09-21,230.47,-0.008,1000,220000,4.339,1098.2973,253124.58,19742.35
2023-09-22,228.97,-0.0034,1000,221000,4.3674,1102.6647,252477.14,19674.25
2023-09-25,230.02,0.0,0,221000,0.0,1102.6647,253634.94,19674.55
2023-09-26,229.53,-0.0005,2000,223000,8.7135,1111.3782,255094.63,19664.7
2023-09-27,232.82,0.0026,0,223000,0.0,1111.3782,258751.06,19716.45
2023-09-28,228.68,-0.0098,2000,225000,8.7458,1120.124,256149.96,19523.55
2023-09-29,231.93,0.0059,0,225000,0.0,1120.124,259790.36,19638.3
2023-10-03,233.55,-0.0056,2000,227000,8.5635,1128.6875,263604.96,19528.75
2023-10-04,229.42,-0.0047,1000,228000,4.3588,1133.0463,259943.48,19436.1
2023-10-05,229.3,0.0056,0,228000,0.0,1133.0463,259807.52,19545.75
2023-10-06,230.87,0.0055,0,228000,0.0,1133.0463,261586.4,19653.5
2023-10-09,229.18,-0.0072,3000,231000,13.0901,1146.1365,262671.55,19512.35
2023-10-10,231.04,0.0091,0,231000,0.0,1146.1365,264803.37,19689.85
2023-10-11,233.43,0.0062,0,231000,0.0,1146.1365,267542.63,19811.35
2023-10-12,232.9,-0.0009,3000,234000,12.8811,1159.0175,269935.18,19794.0
2023-10-13,233.0,-0.0022,1000,235000,4.2918,1163.3094,271051.08,19751.05
2023-10-16,234.25,-0.001,1000,236000,4.2689,1167.5783,273505.22,19731.75
2023-10-17,234.21,0.004,0,236000,0.0,1167.5783,273458.52,19811.5
2023-10-18,230.77,-0.0071,2000,238000,8.6666,1176.2449,271442.05,19671.1
2023-10-19,233.23,-0.0024,1000,239000,4.2876,1180.5326,275335.61,19624.7
2023-10-20,22.88,-0.0042,1000,240000,43.7063,1224.2389,28010.58,19542.65
2023-10-23,22.65,-0.0134,1000,241000,44.1501,1268.389,28729.01,19281.75
2023-10-25,22.39,-0.0083,1000,242000,44.6628,1313.0518,29399.23,19122.15
2023-10-26,22.14,-0.0139,1000,243000,45.1671,1358.2189,30070.97,18857.25
2023-10-27,22.51,0.0101,0,243000,0.0,1358.2189,30573.51,19047.25
2023-10-30,22.43,0.0049,0,243000,0.0,1358.2189,30464.85,19140.9
2023-10-31,22.5,-0.0032,3000,246000,133.3333,1491.5522,33559.92,19079.6
2023-11-01,22.33,-0.0047,1000,247000,44.7828,1536.335,34306.36,18989.15
2023-11-02,22.74,0.0076,0,247000,0.0,1536.335,34936.26,19133.25
2023-11-03,22.86,0.0051,0,247000,0.0,1536.335,35120.62,19230.6
2023-11-06,23.0,0.0094,0,247000,0.0,1536.335,35335.71,19411.75
2023-11-07,23.18,-0.0003,4000,251000,172.5626,1708.8976,39612.25,19406.7
2023-11-08,23.47,0.0019,0,251000,0.0,1708.8976,40107.83,19443.5
2023-11-09,23.49,-0.0025,2000,253000,85.1426,1794.0402,42142.0,19395.3
2023-11-10,23.58,0.0015,0,253000,0.0,1794.0402,42303.47,19425.35
2023-11-12,23.93,0.0052,0,253000,0.0,1794.0402,42931.38,19525.55
2023-11-13,23.67,-0.0042,3000,256000,126.7427,1920.7829,45464.93,19443.55
2023-11-15,24.11,0.0119,0,256000,0.0,1920.7829,46310.08,19675.45
2023-11-16,24.1,0.0046,0,256000,0.0,1920.7829,46290.87,19765.2
2023-11-17,24.3,-0.0017,3000,259000,123.4568,2044.2397,49675.02,19731.8
2023-11-20,24.42,-0.0019,1000,260000,40.95,2085.1897,50920.33,19694.0
2023-11-21,24.4,0.0045,0,260000,0.0,2085.1897,50878.63,19783.4
2023-11-22,24.4,0.0014,0,260000,0.0,2085.1897,50878.63,19811.85
2023-11-23,24.49,-0.0005,3000,263000,122.499,2207.6887,54066.3,19802.0
2023-11-24,24.49,-0.0004,1000,264000,40.833,2248.5217,55066.3,19794.7
2023-11-28,25.06,0.0048,0,264000,0.0,2248.5217,56347.95,19889.7
2023-11-29,24.92,0.0104,0,264000,0.0,2248.5217,56033.16,20096.6
2023-11-30,25.11,0.0018,0,264000,0.0,2248.5217,56460.38,20133.15
2023-12-01,25.74,0.0067,0,264000,0.0,2248.5217,57876.95,20267.9
2023-12-04,26.19,0.0207,0,264000,0.0,2248.5217,58888.78,20686.8
2023-12-05,26.27,0.0081,0,264000,0.0,2248.5217,59068.66,20855.1
2023-12-06,26.43,0.004,0,264000,0.0,2248.5217,59428.43,20937.7
2023-12-07,26.43,-0.0017,8000,272000,302.6863,2551.208,67428.43,20901.15
2023-12-08,26.39,0.0033,0,272000,0.0,2551.208,67326.38,20969.4
2023-12-11,26.77,0.0013,0,272000,0.0,2551.208,68295.84,20997.1
2023-12-12,26.6,-0.0043,3000,275000,112.782,2663.99,70862.13,20906.4
2023-12-13,27.18,0.001,0,275000,0.0,2663.99,72407.25,20926.35
2023-12-14,27.41,0.0123,0,275000,0.0,2663.99,73019.97,21182.7
2023-12-15,27.32,0.0129,0,275000,0.0,2663.99,72780.21,21456.65
2023-12-18,27.45,-0.0018,4000,279000,145.7195,2809.7095,77126.53,21418.65
2023-12-19,27.39,0.0016,0,279000,0.0,2809.7095,76957.94,21453.1
2023-12-20,26.63,-0.0141,2000,281000,75.1033,2884.8127,76822.56,21150.15
2023-12-21,26.83,0.005,0,281000,0.0,2884.8127,77399.53,21255.05
2023-12-22,26.99,0.0044,0,281000,0.0,2884.8127,77861.1,21349.4
2023-12-26,27.33,0.0043,0,281000,0.0,2884.8127,78841.93,21441.35
2023-12-27,27.43,0.01,0,281000,0.0,2884.8127,79130.41,21654.75
2023-12-28,27.51,0.0057,0,281000,0.0,2884.8127,79361.2,21778.7
2023-12-29,27.4,-0.0022,6000,287000,218.9781,3103.7909,85043.87,21731.4
2024-01-01,27.5,0.0005,0,287000,0.0,3103.7909,85354.25,21741.9
2024-01-02,27.91,-0.0035,2000,289000,71.6589,3175.4498,88626.8,21665.8
2024-01-03,27.59,-0.0069,1000,290000,36.245,3211.6948,88610.66,21517.35
2024-01-04,27.84,0.0066,0,290000,0.0,3211.6948,89413.58,21658.6
2024-01-05,27.82,0.0024,0,290000,0.0,3211.6948,89349.35,21710.8
2024-01-08,27.88,-0.0091,3000,293000,107.604,3319.2988,92542.05,21513.0
2024-01-09,27.91,0.0015,0,293000,0.0,3319.2988,92641.63,21544.85
2024-01-10,27.56,0.0034,0,293000,0.0,3319.2988,91479.87,21618.7
2024-01-11,27.93,0.0013,0,293000,0.0,3319.2988,92708.02,21647.2
2024-01-12,28.07,0.0114,0,293000,0.0,3319.2988,93172.72,21894.55
2024-01-15,28.21,0.0093,0,293000,0.0,3319.2988,93637.42,22097.45
2024-01-16,28.18,-0.0029,6000,299000,212.917,3532.2158,99537.84,22032.3
2024-01-17,28.08,-0.0209,1000,300000,35.6125,3567.8283,100184.62,21571.95
2024-01-18,27.85,-0.0051,1000,301000,35.9066,3603.7349,100364.02,21462.25
2024-01-19,28.27,0.0075,0,301000,0.0,3603.7349,101877.59,21622.4
2024-01-20,28.32,-0.0023,2000,303000,70.6215,3674.3564,104057.77,21571.8
2024-01-23,27.65,-0.0154,1000,304000,36.1664,3710.5228,102595.95,21238.8
2024-01-24,27.92,0.0101,0,304000,0.0,3710.5228,103597.8,21453.95
2024-01-25,28.2,-0.0047,2000,306000,70.922,3781.4447,106636.74,21352.6
2024-01-29,28.84,0.018,0,306000,0.0,3781.4447,109056.87,21737.6
2024-01-30,28.92,-0.0099,2000,308000,69.1563,3850.601,111359.38,21522.1
2024-01-31,29.08,0.0095,0,308000,0.0,3850.601,111975.48,21725.7
2024-02-01,29.15,-0.0013,2000,310000,68.6106,3919.2117,114245.02,21697.45
2024-02-02,29.51,0.0072,0,310000,0.0,3919.2117,115655.94,21853.8
2024-02-05,29.52,-0.0038,2000,312000,67.7507,3986.9624,117695.13,21771.7
