Date,ETF Close,NIFTY Return,RSI,MA20,Invested Today,Carry Over,Additional Invest,Total Invested,Units Bought,Total Units,Portfolio Value,NIFTY Close,Daily_Return
2024-02-06,56.79,0.0072,48.06,21667.33,0.0,11303.59,0.0,358491.75,0.0,2169.0582,123180.81,21929.4,0.01338326778497323
2024-02-07,57.65,0.0001,58.15,21686.61,0.0,12303.59,0.0,358491.75,0.0,2169.0582,125046.2,21930.5,0.015143511395971476
2024-02-08,58.21,-0.0097,55.55,21691.57,0.0,13303.59,484.6,358491.75,0.0,2169.0582,126260.88,21717.95,0.009713849761128435
2024-02-09,57.82,0.003,53.63,21698.34,0.0,14303.59,0.0,358491.75,0.0,2169.0582,125414.94,21782.5,-0.006699937462815053
2024-02-12,56.65,-0.0076,50.95,21684.41,0.0,15303.59,382.07,358491.75,0.0,2169.0582,122877.15,21616.05,-0.020235149018131393
2024-02-13,57.35,0.0059,61.92,21666.7,0.0,16303.59,0.0,358491.75,0.0,2169.0582,124395.49,21743.25,0.012356569142432106
2024-02-14,58.0,0.0045,59.66,21657.09,0.0,17303.59,0.0,358491.75,0.0,2169.0582,125805.37,21840.05,0.011333851412137053
2024-02-15,58.68,0.0032,64.18,21674.03,0.0,18303.59,0.0,358491.75,0.0,2169.0582,127280.33,21910.75,0.011724141823198808
2024-02-16,59.25,0.0059,58.85,21702.95,0.0,19303.59,0.0,358491.75,0.0,2169.0582,128516.7,22040.7,0.00971375545616504
2024-02-19,59.08,0.0037,69.01,21727.94,0.0,20303.59,0.0,358491.75,0.0,2169.0582,128147.96,22122.25,-0.002869199100194675
2024-02-20,59.0,0.0034,66.25,21759.2,0.0,21303.59,0.0,358491.75,0.0,2169.0582,127974.43,22196.95,-0.0013541378263065562
2024-02-21,58.93,-0.0064,61.44,21800.02,0.0,22303.59,319.64,358491.75,0.0,2169.0582,127822.6,22055.05,-0.0011864088787110205
2024-02-22,59.47,0.0074,61.58,21838.19,0.0,23303.59,0.0,358491.75,0.0,2169.0582,128993.89,22217.45,0.009163403028885186
2024-02-23,59.65,-0.0002,64.78,21881.2,0.0,24303.59,10.69,358491.75,0.0,2169.0582,129384.32,22212.7,0.0030267325064776696
2024-02-26,59.48,-0.0041,56.76,21900.42,0.0,25303.59,204.05,358491.75,0.0,2169.0582,129015.58,22122.05,-0.002849958944020514
2024-02-27,59.6,0.0034,58.93,21934.23,0.0,26303.59,0.0,358491.75,0.0,2169.0582,129275.87,22198.35,0.0020175082730318206
2024-02-28,58.8,-0.0111,57.6,21945.5,0.0,27303.59,556.8,358491.75,0.0,2169.0582,127540.62,21951.15,-0.013422845268803885
