date,nav,invested_today,extra_amount,carry_over,total_invested,total_units,portfolio_value,MA,RSI,daily_ret
2024-01-30,14.69,1000.0,0.0,60790.5572120241,801779.3591192993,72536.3633300987,1065559.17731915,14.658000000000001,52.63157894736841,-0.007170888660217534
2024-01-31,14.86,1000.0,0.0,61790.5572120241,802779.3591192993,72603.65808110812,1078890.3590852667,14.6765,55.279503105590045,0.012510972689153466
2024-02-01,14.86,1000.0,0.0,62790.5572120241,803779.3591192993,72670.95283211755,1079890.3590852667,14.697,54.999999999999986,0.0009268782426119504
2024-02-02,14.97,1000.0,0.0,63790.5572120241,804779.3591192993,72737.75309931861,1088884.1638967996,14.722999999999999,56.62650602409638,0.008328442545918469
2024-02-05,14.92,1000.0,0.0,64790.5572120241,805779.3591192993,72804.77722800494,1086247.2762418336,14.738000000000003,51.875000000000014,-0.002421642028045734
2024-02-06,15.04,1000.0,0.0,65790.5572120241,806779.3591192993,72871.26658970707,1095983.8495091943,14.756,54.70588235294112,0.008963496139706706
2024-02-07,15.13,1000.0,0.0,66790.5572120241,807779.3591192993,72937.36044297871,1103542.263502268,14.782,58.28571428571429,0.006896464757631726
2024-02-08,15.11,1000.0,0.0,67790.5572120241,808779.3591192993,73003.54177984172,1103083.5162934083,14.803,65.80645161290317,-0.0004157042498794672
2024-02-09,15.05,1000.0,0.0,68790.5572120241,809779.3591192993,73069.98696256598,1099703.303786618,14.820500000000001,67.10526315789473,-0.003064330539675364
2024-02-12,14.9,1000.0,0.0,69790.5572120241,810779.3591192993,73137.1010565257,1089742.805742233,14.828,56.37583892617446,-0.009057441229909702
2024-02-13,14.99,1000.0,0.0,70790.5572120241,811779.3591192993,73203.81219728621,1097325.1448373203,14.8345,68.38235294117644,0.0069579161753885455
2024-02-14,15.05,1000.0,0.0,71790.5572120241,812779.3591192993,73270.25738001047,1102717.3735691577,14.843,65.59999999999998,0.0049139753674711795
2024-02-15,15.15,1000.0,0.0,72790.5572120241,813779.3591192993,73336.26398067054,1111044.3993071588,14.858499999999998,69.69696969696962,0.007551368952362747
2024-02-16,15.27,1000.0,0.0,73790.5572120241,814779.3591192993,73401.75186541186,1120844.7509848392,14.891,68.25396825396817,0.00882084611901357
2024-02-19,15.29,1000.0,0.0,74790.5572120241,815779.3591192993,73467.15408908746,1123312.7860221472,14.928999999999998,75.86206896551718,0.0022019419149168495
2024-02-20,15.35,1000.0,0.0,75790.5572120241,816779.3591192993,73532.30066889201,1128720.8152674923,14.961000000000002,73.33333333333329,0.004814357419090642
2024-02-21,15.26,1000.0,0.0,76790.5572120241,817779.3591192993,73597.83146836777,1123102.9082072922,14.999500000000001,67.5438596491228,-0.004977233505584544
2024-02-22,15.43,1000.0,0.0,77790.5572120241,818779.3591192993,73662.64028236648,1136614.5395569147,15.038,69.16666666666661,0.012030626268424438
2024-02-23,15.51,1000.0,0.0,78790.5572120241,819779.3591192993,73727.11481492613,1143507.5507795042,15.081999999999999,73.98373983739836,0.006064510863354355
